"","GeneName","GeneID","DpleGene","MsexGene"
"7864","CG9132","PIERAPG00000012035","DPOGS205101","Msex2.05516"
"7867","DYI2","PIERAPG00000012040","DPOGS214667","Msex2.05235"
"7899","mlec-a","PIERAPG00000012091","DPOGS203037","Msex2.01274"
"7905","RpL13A","PIERAPG00000012101","DPOGS216064","Msex2.01675"
"7932","cat2","PIERAPG00000012141","DPOGS200795","Msex2.12446"
"7948","RCC1","PIERAPG00000012162","DPOGS207922","Msex2.13618"
"7966","1","PIERAPG00000012191","DPOGS205933","Msex2.11323"
"7976","DPGN_4","PIERAPG00000012207","DPOGS200980","Msex2.05550"
"7988","IPK2","PIERAPG00000012228","DPOGS202122",NA
"7993","Erp44","PIERAPG00000012234","DPOGS213021","Msex2.05500"
"7994","LSM8","PIERAPG00000012235","DPOGS211596","Msex2.05834"
"7995","CG30010","PIERAPG00000012236","DPOGS206554","Msex2.07138"
"8008","TXNDC17","PIERAPG00000012259","DPOGS209647","Msex2.05038"
"8016","SARS","PIERAPG00000012268","DPOGS214363","Msex2.07620"
"8021","TIC214ken1","PIERAPG00000012274","DPOGS207856","Msex2.02310"
"8029","RSPH10B","PIERAPG00000012290","DPOGS211101","Msex2.10354"
"8041","Macrod2","PIERAPG00000012304","DPOGS205536","Msex2.09598"
"8043","mvhA","PIERAPG00000012308","DPOGS206873",NA
"8047","EF1B2","PIERAPG00000012314","DPOGS209710","Msex2.06049"
"8057","porin_2","PIERAPG00000012330","DPOGS209741","Msex2.06044"
"8067","ARGIARG2","PIERAPG00000012349","DPOGS204410","Msex2.06835"
"8068","SDR39U1","PIERAPG00000012350","DPOGS211657","Msex2.10329"
"8070","Ube2v2","PIERAPG00000012352","DPOGS213609","Msex2.02405"
"8079","creld2_2","PIERAPG00000012365","DPOGS208788","Msex2.10918"
"8100","ilvC_2","PIERAPG00000012391","DPOGS212055","Msex2.13957"
"8113","SUCLG2","PIERAPG00000012410","DPOGS204481","Msex2.03335"
"8115","RpL36_2","PIERAPG00000012413","DPOGS209700","Msex2.02868"
"8123","G108163","PIERAPG00000012424","DPOGS204978","Msex2.08277"
"8126","IDH2","PIERAPG00000012428","DPOGS204316","Msex2.11931"
"8133","ABCB10","PIERAPG00000012437","DPOGS206691","Msex2.12844"
"8142","G107689","PIERAPG00000012459","DPOGS204122","Msex2.00776"
"8146","Ndufb9","PIERAPG00000012466","DPOGS203469",NA
"8154","G102271","PIERAPG00000012475",NA,"Msex2.11471"
"8172","LAMP1_2","PIERAPG00000012501",NA,"Msex2.06906"
"8181","Lgals4","PIERAPG00000012513","DPOGS207912","Msex2.12681"
"8187","G104526","PIERAPG00000012520","DPOGS213765","Msex2.00052"
"8198","EFCAB10","PIERAPG00000012536","DPOGS203703",NA
"8206","tufMPH1","PIERAPG00000012553","DPOGS209660","Msex2.09923"
"8207","Ndufa11","PIERAPG00000012554","DPOGS202294",NA
"8210","CHYM1_8","PIERAPG00000012558","DPOGS203644","Msex2.13476"
"8211","snr-4","PIERAPG00000012559","DPOGS206276","Msex2.05810"
"8225","SEC24_2","PIERAPG00000012583","DPOGS214623","Msex2.12353"
"8233","Fkbp2","PIERAPG00000012594","DPOGS212051","Msex2.12294"
"8234","RpL32","PIERAPG00000012595","DPOGS215357","Msex2.10449"
"8240","U2af38","PIERAPG00000012607","DPOGS208546","Msex2.06706"
"8246","mtapAGAP005129","PIERAPG00000012614","DPOGS202372","Msex2.13556"
"8271","Eprs","PIERAPG00000012655","DPOGS204192","Msex2.12325"
"8272","Arcn1","PIERAPG00000012657","DPOGS205869","Msex2.11213"
"8276","aralar1","PIERAPG00000012661","DPOGS206486","Msex2.02897"
"8289","Manf","PIERAPG00000012683",NA,"Msex2.07822"
"8298","Taldo1","PIERAPG00000012694","DPOGS215969","Msex2.05146,Msex2.09485"
"8300","GstS1","PIERAPG00000012696","DPOGS210686,DPOGS210687",NA
"8308","CG2145_3","PIERAPG00000012707",NA,"Msex2.10048"
"8314","LRRC74B","PIERAPG00000012717",NA,"Msex2.05017,Msex2.06300"
"8317","CG5706","PIERAPG00000012720","DPOGS208233","Msex2.00811"
"8318","Mdh1_3","PIERAPG00000012721","DPOGS200490","Msex2.02963"
"8345","RpLP2","PIERAPG00000012764","DPOGS212757","Msex2.04362"
"8354","fau","PIERAPG00000012774","DPOGS214719",NA
"8357","mtacp1","PIERAPG00000012777","DPOGS200858","Msex2.07792"
"8361","C2orf81","PIERAPG00000012781",NA,"Msex2.14380"
"8369","AGAP006459","PIERAPG00000012794","DPOGS211499","Msex2.10798"
"8371","SJCHGC01960_2","PIERAPG00000012796","DPOGS207302","Msex2.06148"
"8372","E2f7","PIERAPG00000012797","DPOGS210376","Msex2.10291"
"8377","VHA26","PIERAPG00000012804","DPOGS204676","Msex2.09308"
"8380","Cfap69","PIERAPG00000012808","DPOGS203034","Msex2.07351"
"8384","Ube2l3","PIERAPG00000012813","DPOGS206895","Msex2.03630"
"8395","Nme7_3","PIERAPG00000012828","DPOGS215614","Msex2.06991"
"8396","DNAH8_3","PIERAPG00000012829","DPOGS203998","Msex2.13299"
"8398","ade5","PIERAPG00000012833","DPOGS208829","Msex2.10914"
"8401","doa10","PIERAPG00000012837","DPOGS202898","Msex2.10721"
"8408","ade2Pfas","PIERAPG00000012846","DPOGS207951","Msex2.03130"
"8416","CALM_4","PIERAPG00000012855",NA,"Msex2.00394"
"8419","RpS23","PIERAPG00000012865","DPOGS208785","Msex2.11995"
"8425","ildr1","PIERAPG00000012875",NA,"Msex2.01378"
"8434","TEKT3","PIERAPG00000012894","DPOGS212342","Msex2.12338"
"8446","P2ry13","PIERAPG00000012907","DPOGS207236",NA
"8455","hibch","PIERAPG00000012921","DPOGS210242","Msex2.09278"
"8465","HMGCS-1","PIERAPG00000012938","DPOGS214377","Msex2.09969"
"8471","Mal-A2","PIERAPG00000012946","DPOGS214723","Msex2.01215"
"8475","ABLIM1","PIERAPG00000012954","DPOGS208217","Msex2.02107"
"8476","G106700","PIERAPG00000012955","DPOGS214049","Msex2.02674"
"8488","Ces4a_5","PIERAPG00000012970","DPOGS215930","Msex2.06296"
"8490","NAPG","PIERAPG00000012972","DPOGS203375","Msex2.08245"
"8497","ORFC2atpD","PIERAPG00000012984","DPOGS213378","Msex2.09559"
"8513","fam136a","PIERAPG00000013002","DPOGS206737","Msex2.02167"
"8527","rab3gap1","PIERAPG00000013021","DPOGS201283","Msex2.05401"
"8529","Gldc","PIERAPG00000013023","DPOGS207953","Msex2.03128"
"8531","Gdh_2","PIERAPG00000013025","DPOGS208377","Msex2.09227"
"8533","VSPPAKLKRKLK7","PIERAPG00000013028","DPOGS207168","Msex2.09948"
"8537","Nurf-38","PIERAPG00000013034","DPOGS211475","Msex2.11940"
"8553","KCP1","PIERAPG00000013057","DPOGS210924","Msex2.00281"
"8554","SPA17","PIERAPG00000013060","DPOGS215381","Msex2.07296"
"8561","Lrrc47okr","PIERAPG00000013068","DPOGS206841","Msex2.01586"
"8573","LYS_4","PIERAPG00000013087","DPOGS202823","Msex2.04822"
"8577","F56F10.1_2","PIERAPG00000013093","DPOGS200898","Msex2.11530"
"8581","Tret1_52","PIERAPG00000013102","DPOGS206262","Msex2.08050"
"8586","SPI3Serpinb7","PIERAPG00000013114","DPOGS215953","Msex2.06154,Msex2.06167"
"8594","gss","PIERAPG00000013128","DPOGS215524","Msex2.12876"
"8602","EST6_6","PIERAPG00000013139","DPOGS209128","Msex2.11565"
"8604","RpS24_2","PIERAPG00000013142","DPOGS210833","Msex2.09689"
"8614","F26E4.3TINAGL1","PIERAPG00000013157","DPOGS209867","Msex2.12776"
"8619","Gclm","PIERAPG00000013163","DPOGS213483","Msex2.11299"
"8624","Klc_2","PIERAPG00000013171","DPOGS210015","Msex2.07163"
"8632","LYPLA1","PIERAPG00000013181","DPOGS211649","Msex2.10342"
"8646","fabG_4","PIERAPG00000013208","DPOGS208864","Msex2.00641,Msex2.00640"
"8648","Gpcpd1","PIERAPG00000013212","DPOGS214218","Msex2.03175"
"8653","CVP4LCM","PIERAPG00000013221","DPOGS215528",NA
"8661","G102695","PIERAPG00000013237","DPOGS215022","Msex2.12070"
"8672","Eip71CD_2","PIERAPG00000013250","DPOGS213552","Msex2.02350"
"8673","cdv3","PIERAPG00000013251","DPOGS209098","Msex2.03849"
"8682","PARK7","PIERAPG00000013264","DPOGS214399","Msex2.07751"
"8691","Gpr158_3","PIERAPG00000013278","DPOGS214390",NA
"8701","UQCRFS1_3","PIERAPG00000013293","DPOGS210917","Msex2.00292"
"8713","yars","PIERAPG00000013311","DPOGS203115","Msex2.00738"
"8733","PebIII_24","PIERAPG00000013340","DPOGS208414,DPOGS208415","Msex2.07526"
"8738","NDUFV2_2","PIERAPG00000013347","DPOGS203718","Msex2.13302"
"8745","AGL_2","PIERAPG00000013354","DPOGS205833",NA
"8746","PDE2A","PIERAPG00000013355","DPOGS202822","Msex2.04815"
"8749","CCDC108","PIERAPG00000013359","DPOGS212130","Msex2.06194"
"8755","RAB7A","PIERAPG00000013365","DPOGS204401","Msex2.03339"
"8758","RpL7A","PIERAPG00000013372","DPOGS208800","Msex2.04872"
"8765","G110104","PIERAPG00000013381","DPOGS211204","Msex2.06577"
"8774","mod(mdg4)_2","PIERAPG00000013391","DPOGS208236","Msex2.00807"
"8786","APL3_2","PIERAPG00000013412","DPOGS207141","Msex2.13800"
"8788","PRP1","PIERAPG00000013415","DPOGS206820","Msex2.09885"
"8794","G105478","PIERAPG00000013423","DPOGS204282","Msex2.07043"
"8795","CPAMD8_3","PIERAPG00000013424","DPOGS201446","Msex2.03937"
"8802","G110957","PIERAPG00000013433","DPOGS207527","Msex2.05221"
"8807","PITPNA","PIERAPG00000013442","DPOGS206953","Msex2.01539"
"8820","si:ch211-163l21.7","PIERAPG00000013467","DPOGS200293",NA
"8828","morn5","PIERAPG00000013480","DPOGS202591","Msex2.14142"
"8831","GA20639","PIERAPG00000013483","DPOGS203247",NA
"8833","aldh4a1","PIERAPG00000013485","DPOGS215291","Msex2.11666"
"8837","Gel_6","PIERAPG00000013492","DPOGS215141","Msex2.11831"
"8841","Gorasp2","PIERAPG00000013496","DPOGS206099","Msex2.09184"
"8845","PRP2","PIERAPG00000013502","DPOGS201819","Msex2.11367"
"8858","PRUNE","PIERAPG00000013519","DPOGS208091","Msex2.13461"
"8863","G112350","PIERAPG00000013524","DPOGS207380","Msex2.01651"
"8870","Ccdc65_2","PIERAPG00000013534","DPOGS209756",NA
"8891","l(2)efl_8","PIERAPG00000013566","DPOGS216183,DPOGS216184","Msex2.01819,Msex2.01804"
"8898","CCBL2_2","PIERAPG00000013573","DPOGS208814","Msex2.04889"
"8910","CCDC13","PIERAPG00000013590","DPOGS212509","Msex2.10183"
"8922","AGL2","PIERAPG00000013607","DPOGS202361","Msex2.10988"
"8936","ams1","PIERAPG00000013628","DPOGS206039","Msex2.04785"
"8945","kra","PIERAPG00000013642","DPOGS215203",NA
"8946","C9orf116","PIERAPG00000013646","DPOGS207954","Msex2.03126"
"8955","ATPsyn-d_2","PIERAPG00000013660","DPOGS202286","Msex2.05273"
"8960","RBM6","PIERAPG00000013665","DPOGS203648",NA
"8962","CCDC96","PIERAPG00000013668","DPOGS203605","Msex2.01155"
"8963","Lrrc23","PIERAPG00000013669","DPOGS200137",NA
"8968","XCC2288","PIERAPG00000013674","DPOGS211354","Msex2.00451"
"8977","Aldh5a1","PIERAPG00000013689","DPOGS209167",NA
"8999","slc36a4_7","PIERAPG00000013731","DPOGS206040","Msex2.04786"
"9005","PDIA3","PIERAPG00000013743","DPOGS215686","Msex2.03744"
"9033","Supv3l1","PIERAPG00000013787","DPOGS208269","Msex2.00806"
"9039","G101233","PIERAPG00000013799","DPOGS200071","Msex2.03670"
"9041","Lcp1","PIERAPG00000013801","DPOGS208166","Msex2.01823"
"9056","plsX_3","PIERAPG00000013823","DPOGS203903","Msex2.02067"
"9058","epsilonTry_3","PIERAPG00000013825",NA,"Msex2.04936"
"9065","GART_2","PIERAPG00000013834","DPOGS206359","Msex2.08671"
"9068","HSPB1","PIERAPG00000013840","DPOGS207471",NA
"9073","GRHPR_2","PIERAPG00000013845","DPOGS200976","Msex2.05543"
"9079","Cul3cul3b","PIERAPG00000013851","DPOGS215829","Msex2.08471"
"9088","hagh_2","PIERAPG00000013865","DPOGS210790","Msex2.11589"
"9092","NDUFS8_2","PIERAPG00000013872","DPOGS210834","Msex2.09688"
"9097","Spag17","PIERAPG00000013877","DPOGS206139","Msex2.09092"
"9105","TRYP1_4","PIERAPG00000013887","DPOGS213431","Msex2.05941"
"9116","GalNAc-T1galnt11","PIERAPG00000013901","DPOGS211665","Msex2.05962"
"9117","copb1_2","PIERAPG00000013902","DPOGS204779","Msex2.03993"
"9121","SDHC_2","PIERAPG00000013912","DPOGS208370","Msex2.01421"
"9124","EIF3H","PIERAPG00000013917","DPOGS207638","Msex2.02048"
"9127","MAPRE1","PIERAPG00000013923","DPOGS208326","Msex2.08883"
"9130","U2af50","PIERAPG00000013927","DPOGS205919","Msex2.05309"
"9135","ACT_3","PIERAPG00000013934","DPOGS207542,DPOGS200327,DPOGS200328","Msex2.07366,Msex2.08645"
"9143","Selenbp1selenbp1-a","PIERAPG00000013945","DPOGS207287","Msex2.01025"
"9149","Alp-m_4","PIERAPG00000013957","DPOGS215263,DPOGS215259","Msex2.06931,Msex2.06932"
"9154","gabT","PIERAPG00000013964","DPOGS210800","Msex2.04660"
"9158","Rbm34","PIERAPG00000013968","DPOGS215326","Msex2.08710"
"9178","THSD7A","PIERAPG00000013997","DPOGS200340","Msex2.05351"
"9179","D2hgdh","PIERAPG00000013998","DPOGS202444","Msex2.13540"
"9180","eff","PIERAPG00000013999","DPOGS200498","Msex2.02974"
"9202","enol-1ptf1a","PIERAPG00000014035","DPOGS212563","Msex2.06012"
"9211","nas-15","PIERAPG00000014044","DPOGS206930","Msex2.05067"
"9221","MYX3","PIERAPG00000014059","DPOGS214905","Msex2.01469"
"9250","sumo3","PIERAPG00000014104","DPOGS212269","Msex2.03266"
"9252","Pdi","PIERAPG00000014107","DPOGS213564","Msex2.02333"
"9258","SLC6A2_2","PIERAPG00000014115","DPOGS212172","Msex2.05016"
"9264","G114436","PIERAPG00000014121","DPOGS210732","Msex2.02463"
"9268","Dmn_2","PIERAPG00000014127","DPOGS200821","Msex2.06677"
"9276","Mal-B2_4","PIERAPG00000014143","DPOGS201306","Msex2.12171"
"9295","GMPS_2","PIERAPG00000014179","DPOGS209487","Msex2.03467"
"9296","dlst_3","PIERAPG00000014181","DPOGS211519","Msex2.10779"
"9299","METAP1","PIERAPG00000014186","DPOGS206487","Msex2.02900"
"9307","cuta","PIERAPG00000014198","DPOGS200119,DPOGS200120","Msex2.02910"
"9310","PSAP","PIERAPG00000014201","DPOGS200483","Msex2.02971"
"9311","BLVRB_2","PIERAPG00000014202","DPOGS212873","Msex2.00873"
"9312","EIF1AX","PIERAPG00000014206","DPOGS206057","Msex2.01256"
"9317","CCT8_2","PIERAPG00000014212","DPOGS203217","Msex2.11925"
"9320","GST1_8","PIERAPG00000014216","DPOGS208312","Msex2.11863"
"9339","AMPD2","PIERAPG00000014246","DPOGS212862","Msex2.00889"
"9347","RpL10","PIERAPG00000014256","DPOGS212411","Msex2.04514"
"9352","NPC2_5","PIERAPG00000014263","DPOGS202315","Msex2.05298"
"9366","VKT2argF","PIERAPG00000014286","DPOGS206279","Msex2.05818"
"9368","PPP2R1A","PIERAPG00000014289","DPOGS200794","Msex2.12443"
"9382","TSPAN7_2","PIERAPG00000014305","DPOGS212450,DPOGS212451","Msex2.11091"
"9387","l(2)k12914","PIERAPG00000014311","DPOGS209890","Msex2.10696"
"9397","Mecr","PIERAPG00000014330","DPOGS216075",NA
"9401","Cndp2","PIERAPG00000014334","DPOGS204431","Msex2.06873"
"9415","Etfb","PIERAPG00000014361","DPOGS214943","Msex2.09465"
"9439","MDH2","PIERAPG00000014401","DPOGS209764",NA
"9452","ARYA","PIERAPG00000014418","DPOGS216049","Msex2.01690,Msex2.15504"
"9458","GSPT1","PIERAPG00000014429","DPOGS204333","Msex2.12369"
"9459","A1AT","PIERAPG00000014430","DPOGS204415","Msex2.06848"
"9461","IFI30_5","PIERAPG00000014437","DPOGS214447","Msex2.11517"
"9479","Pgm_2","PIERAPG00000014464","DPOGS209508",NA
"9486","CG4692","PIERAPG00000014481","DPOGS200355","Msex2.07821"
"9498","ATPsyn-Cf6","PIERAPG00000014500","DPOGS212860","Msex2.00888"
"9504","HI_0653","PIERAPG00000014508","DPOGS208819","Msex2.04871"
"9514","VA0D","PIERAPG00000014524","DPOGS211216","Msex2.10072"
"9518","TMED2","PIERAPG00000014528","DPOGS207040","Msex2.03623"
"9520","beta'Cop","PIERAPG00000014530","DPOGS203367","Msex2.01340"
"9521","Rsf1","PIERAPG00000014531","DPOGS212586","Msex2.02925"
"9523","Bx42","PIERAPG00000014535","DPOGS201642","Msex2.01785"
"9525","CU01_3","PIERAPG00000014542","DPOGS200004","Msex2.03833"
"9528","Tktl2","PIERAPG00000014546","DPOGS209035","Msex2.03246"
"9532","Gld_25","PIERAPG00000014552","DPOGS215066","Msex2.03547"
"9550","Coprox","PIERAPG00000014575","DPOGS209982","Msex2.12050"
"9554","TRABD","PIERAPG00000014581","DPOGS215918","Msex2.03070"
"9563","DNAJB13","PIERAPG00000014591","DPOGS212742",NA
"9571","Ndufb9_2","PIERAPG00000014609","DPOGS213462","Msex2.13962"
"9582","DYDC2","PIERAPG00000014623","DPOGS214710","Msex2.01242"
"9593","Ndufa7","PIERAPG00000014638","DPOGS206881","Msex2.12947"
"9595","CG12163","PIERAPG00000014642","DPOGS214724",NA
"9610","snk_12","PIERAPG00000014673","DPOGS200031","Msex2.11657"
"9621","akr2e_14","PIERAPG00000014687","DPOGS212711","Msex2.14123"
"9624","YWHAE","PIERAPG00000014695",NA,"Msex2.04343"
"9625","CG9705","PIERAPG00000014697",NA,"Msex2.02284"
"9632","Orct2_8","PIERAPG00000014705","DPOGS203207,DPOGS203206","Msex2.06743"
"9646","RpS4","PIERAPG00000014721","DPOGS205845","Msex2.14042"
"9651","ARYA_2","PIERAPG00000014728","DPOGS216055","Msex2.01693"
"9653","WNK2","PIERAPG00000014730","DPOGS206028","Msex2.09011"
"9659","G112200","PIERAPG00000014739","DPOGS208656","Msex2.09783"
"9666","CanB2","PIERAPG00000014751","DPOGS203567","Msex2.07471"
"9669","tbb-4_2","PIERAPG00000014754","DPOGS202417","Msex2.01461"
"9672","unc-89_5","PIERAPG00000014760","DPOGS202232","Msex2.03031"
"9679","gammaCopYY1","PIERAPG00000014769","DPOGS203907,DPOGS200469","Msex2.01912,Msex2.01374"
"9691","ND42","PIERAPG00000014795","DPOGS215520","Msex2.11051"
"9692","Mhc","PIERAPG00000014796","DPOGS206365","Msex2.08678"
"9700","C1qbp","PIERAPG00000014809","DPOGS200854","Msex2.07784"
"9736","an3_2","PIERAPG00000014854",NA,"Msex2.15442"
"9752","RPL21","PIERAPG00000014874","DPOGS211910","Msex2.12868,Msex2.14302"
"9766","NPEPL1","PIERAPG00000014899","DPOGS213400","Msex2.08897"
"9783","TMX1","PIERAPG00000014924","DPOGS201650","Msex2.01789"
"9798","NT5C2","PIERAPG00000014942","DPOGS209162","Msex2.05623"
"9802","Fbxo39","PIERAPG00000014947","DPOGS209667","Msex2.04795"
"9811","TCPD","PIERAPG00000014959","DPOGS213674","Msex2.14134"
"9815","VA3far11","PIERAPG00000014967","DPOGS208888","Msex2.10525"
"9818","slr1251","PIERAPG00000014970","DPOGS200723","Msex2.10624"
"9827","NDUFS3_2","PIERAPG00000014986","DPOGS209900","Msex2.12986"
"9828","TFPI_2","PIERAPG00000014987","DPOGS207193","Msex2.03421"
"9865","RpL10A","PIERAPG00000015040","DPOGS208750","Msex2.04108"
