Gene,SpermSubset,ProteinOrthoHomology,PANNZER_Description,Avg NSAF Apyrene,Avg NSAF Eupyrene
Msex2.12378,Apyrene,DPOGS214906,Trypsin epsilon,0.001764707,NA
Msex2.12427,Eupyrene,DPOGS202912,Macroglobulin complement-related protein,NA,4.97E-05
Msex2.12432,Eupyrene,DPOGS201807,Proline dehydrogenase,NA,0.000214629
Msex2.12443,Apyrene,DPOGS200794,Serine/threonine-protein phosphatase 2A regulatory subunit A,0.000221383,NA
Msex2.12444,Eupyrene,DPOGS200799,V-type proton ATPase subunit B,NA,0.001548103
Msex2.12446,Shared,DPOGS200795,4-hydroxybutyrate coenzyme A transferase,0.002343949,0.001892488
Msex2.12488,Shared,DPOGS210982,Clip-domain serine protease,0.000237483,0.00049082
Msex2.12489,Shared,NA,Clip-domain serine protease,0.000243403,0.000532278
Msex2.12499,Eupyrene,DPOGS201594,NA,NA,0.000376376
Msex2.12526,Apyrene,DPOGS212535,Delta-Delta-dienoyl-CoA isomerase,0.000425921,NA
Msex2.12545,Shared,NA,NA,0.004237916,0.003097041
Msex2.12565,Shared,DPOGS214956,NA,0.000355813,0.000296238
Msex2.12581,Shared,DPOGS202261,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit,0.000721061,0.000718385
Msex2.12591,Apyrene,DPOGS201277,Proteasome subunit alpha type,0.000262281,NA
Msex2.12647,Shared,DPOGS201813,Phosphoglycerate mutase,0.000273226,0.000247906
Msex2.12798,Apyrene,DPOGS212695,Polymerase delta-interacting protein 2,0.000468235,NA
Msex2.12804,Apyrene,DPOGS201822,Apoptosis-inducing factor,0.000240582,NA
Msex2.12808,Shared,NA,NA,0.000642075,0.000324546
Msex2.12876,Shared,DPOGS215524,Glutathione synthetase,0.001563619,0.00038365
Msex2.12898,Apyrene,DPOGS214014,Tetratricopeptide repeat protein 19,0.000193751,NA
Msex2.12964,Apyrene,DPOGS209862,Tubulin beta chain,0.000312425,NA
Msex2.12977,Shared,DPOGS208025,Tyrosine-protein phosphatase non-receptor type,0.000100828,0.000159322
Msex2.13004,Shared,NA,NA,0.001370942,0.001071234
Msex2.13015,Shared,DPOGS213094,NA,0.00266759,0.008303794
Msex2.13025,Eupyrene,"DPOGS200150,DPOGS211608",Tetraspanin,NA,0.000328438
Msex2.13047,Shared,DPOGS209599,Cytochrome b5 domain-containing protein 1,0.000461061,0.000340066
Msex2.13050,Shared,DPOGS209305,Outer dense fiber protein 3-B,0.008728917,0.006511825
Msex2.13123,Shared,DPOGS201143,cilia- and flagella-associated protein 52,0.002354357,0.001317294
Msex2.13182,Shared,NA,NA,0.00170393,0.005050105
Msex2.13184,Shared,DPOGS202422,NA,0.001214248,0.002776618
Msex2.13185,Shared,DPOGS202431,NA,0.0013534,0.000883902
Msex2.13188,Eupyrene,NA,NA,NA,0.00072338
Msex2.13302,Eupyrene,DPOGS203718,NADH-ubiquinone reductase,NA,0.000745524
Msex2.13362,Shared,NA,NA,0.005903652,0.003989322
Msex2.13383,Shared,DPOGS215321,NA,0.000968672,0.012133805
Msex2.13402,Eupyrene,NA,Tissue factor pathway inhibitor,NA,0.003647269
Msex2.13427,Apyrene,NA,NA,0.001103465,NA
Msex2.13440,Shared,NA,NA,0.001836005,0.001884301
Msex2.13444,Apyrene,DPOGS211844,Ubiquinol-cytochrome c reductase complex,0.002325013,NA
Msex2.13460,Shared,NA,NA,0.000756692,9.52E-05
Msex2.13461,Apyrene,DPOGS208091,NA,0.000208074,NA
Msex2.13476,Eupyrene,DPOGS203644,Sui m 6 allergen,NA,0.001775947
Msex2.13505,Apyrene,DPOGS201984,NA,0.000537394,NA
Msex2.13516,Apyrene,DPOGS210284,Thioredoxin-dependent peroxide reductase,0.000559915,NA
Msex2.13576,Shared,DPOGS207070,Bleomycin hydrolase,0.000168541,0.000346091
Msex2.13580,Shared,NA,"Serine protease HTRA2, mitochondrial",0.000302212,0.000191992
Msex2.13581,Shared,DPOGS208210,NA,0.001065458,0.001622538
Msex2.13590,Eupyrene,DPOGS206193,NA,NA,0.002287687
Msex2.13591,Shared,DPOGS206192,MICOS complex subunit MIC60 (Fragment),0.000849925,0.003460639
Msex2.13593,Shared,DPOGS210282,Fumarylacetoacetate hydrolase domain-containing protein 1,0.002342562,0.001864766
Msex2.13676,Apyrene,DPOGS204059,NA,0.000237196,NA
Msex2.13684,Eupyrene,DPOGS205593,Thioredoxin domain-containing protein 6,NA,0.000373007
Msex2.13700,Eupyrene,NA,NA,NA,0.000528508
Msex2.13702,Eupyrene,DPOGS211811,Thyroid receptor-interacting protein 11,NA,0.000234756
Msex2.13707,Eupyrene,DPOGS208440,NA,NA,0.001432408
Msex2.13798,Eupyrene,DPOGS201415,Thioredoxin,NA,0.000388965
Msex2.13825,Shared,DPOGS200283,NA,0.005980559,0.005323733
Msex2.13827,Shared,DPOGS200360,3-dehydroquinate dehydratase,0.002439694,0.001630686
Msex2.13828,Shared,DPOGS200359,NA,0.013852822,0.010071604
Msex2.13840,Shared,DPOGS210074,NA,0.000977335,0.001382726
Msex2.13870,Shared,DPOGS208209,High temperature requirement protein A2 (Fragment),0.000302212,0.000191992
Msex2.13879,Apyrene,DPOGS211853,NA,0.000502157,NA
Msex2.13914,Eupyrene,DPOGS209113,NA,NA,0.000626072
Msex2.13915,Eupyrene,NA,NA,NA,0.00052984
Msex2.13946,Eupyrene,NA,Hemomucin,NA,0.000179993
Msex2.13957,Eupyrene,DPOGS212055,NA,NA,0.000486574
Msex2.13962,Apyrene,DPOGS213462,NADH dehydrogenase (Ubiquinone) 1 beta subcomplex subunit,0.003482609,NA
Msex2.13964,Apyrene,DPOGS213463,Carnitinyl-CoA dehydratase,0.000395805,NA
Msex2.13992,Eupyrene,DPOGS213375,NA,NA,0.000255632
Msex2.13998,Eupyrene,DPOGS203626,NA,NA,0.009542032
Msex2.14020,Eupyrene,NA,NA,NA,0.000171289
Msex2.14042,Shared,DPOGS205845,40S ribosomal protein S4,0.000241636,0.0008191
Msex2.14077,Shared,DPOGS205217,NA,0.016109822,0.013101372
Msex2.14142,Apyrene,NA,NA,0.000492638,NA
Msex2.14166,Apyrene,"DPOGS213119,DPOGS213120",NADH-ubiquinone oxidoreductase ashi subunit,0.001481978,NA
Msex2.14220,Shared,NA,NA,0.001794172,0.000860862
Msex2.14228,Shared,NA,NA,0.000319217,0.003333597
Msex2.14229,Eupyrene,DPOGS201300,Signal peptidase complex subunit,NA,0.000967732
Msex2.14249,Apyrene,NA,NA,4.75E-05,NA
Msex2.14320,Apyrene,NA,NA,0.00177498,NA
Msex2.14340,Shared,NA,NA,0.00096084,0.000528508
Msex2.14349,Shared,NA,NA,0.00195763,0.001051265
Msex2.14366,Apyrene,DPOGS216158,Cytochrome c oxidase polypeptide VIc,0.003020128,NA
Msex2.14370,Apyrene,DPOGS216158,Cytochrome c oxidase polypeptide VIc,0.003020128,NA
Msex2.14449,Apyrene,DPOGS201693,NA,0.001481551,NA
Msex2.14486,Shared,DPOGS210074,NA,0.001423139,0.001382726
Msex2.14502,Eupyrene,NA,Histone 1,NA,0.00178008
Msex2.14521,Shared,NA,NA,0.007794121,0.001529018
Msex2.14649,Apyrene,NA,NA,0.000529586,NA
Msex2.14867,Apyrene,NA,NA,0.001170718,NA
Msex2.14909,Eupyrene,NA,NA,NA,0.000312932
Msex2.14995,Shared,DPOGS205211,Adenine nucleotide translocase,0.006830814,0.010838254
Msex2.15047,Shared,NA,Fructose-bisphosphate aldolase (Fragment),0.005315536,0.003764217
Msex2.15180,Apyrene,NA,NA,0.001151236,NA
Msex2.15194,Apyrene,NA,NA,0.001580037,NA
Msex2.15229,Eupyrene,NA,NA,NA,0.002059407
Msex2.15251,Shared,NA,NA,0.008622179,0.001344804
Msex2.15290,Eupyrene,"DPOGS207199,DPOGS212515,DPOGS207204",NA,NA,0.005583332
Msex2.15328,Apyrene,NA,NA,0.002556389,NA
Msex2.15503,Apyrene,DPOGS206705,Arylalkylamine N-acetyltransferase long mutant,0.00060872,NA
